MCC,Название,Группа,Обновлено
3118,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3119,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3120,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3121,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3122,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3123,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3124,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3125,Tan Airlines (TAN AIR),"Авиалинии, авиакомпании",18.04.17
3126,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3127,Taca International (TACA INT),"Авиалинии, авиакомпании",17.04.17
3128,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3129,Surinam Airways (SURINAM),"Авиалинии, авиакомпании",17.04.17
3130,Sunworld International Airways (SUNWORLD),"Авиалинии, авиакомпании",17.04.17
3131,VLM Airlines (VLM),"Авиалинии, авиакомпании",18.04.17
3132,Frontier Airlines (FRONTIER),"Авиалинии, авиакомпании",18.04.17
3133,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3134,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3135,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3136,Qatar Airways Company W.L.L. (QATAR AIR),"Авиалинии, авиакомпании",17.04.17
3137,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3138,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3139,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3140,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3141,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3142,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3143,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3144,Virgin Atlantic (VIR ATL),"Авиалинии, авиакомпании",17.04.17
3145,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3146,Luxair (LUXAIR),"Авиалинии, авиакомпании",18.04.17
3147,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3148,"Air Littoral, S.A. (LITTORAL)","Авиалинии, авиакомпании",18.04.17
3150,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3151,Air Zaire (AIRZAIRE),"Авиалинии, авиакомпании",18.04.17
3152,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3153,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",16.04.17
3154,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3155,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3156,GO FLY Ltd. (GOFLY),"Авиалинии, авиакомпании",18.04.17
3157,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3158,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3159,Provincetown-Boston Airways (PBA),"Авиалинии, авиакомпании",17.04.17
3160,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3161,All Nippon Airways (ANAAIR),"Авиалинии, авиакомпании",18.04.17
3162,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3163,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3164,Norontair (NORONTAI),"Авиалинии, авиакомпании",18.04.17
3165,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3166,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3167,Aero Continente (AERO CONT),"Авиалинии, авиакомпании",18.04.17
3168,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3169,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3170,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3171,Canadian Airlines (CANADIAN),"Авиалинии, авиакомпании",18.04.17
3172,Nation Air (NATIONAI),"Авиалинии, авиакомпании",18.04.17
3173,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3174,JetBlue Airways (JETBLUE),"Авиалинии, авиакомпании",18.04.17
3175,Middle East Air (MIDEASTA),"Авиалинии, авиакомпании",17.04.17
3176,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3177,AirTran Airways (AIRTRAN A),"Авиалинии, авиакомпании",18.04.17
3178,Mesa Air (MESA AIR),"Авиалинии, авиакомпании",18.04.17
3179,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3180,Westjet Airlines (WESTJET),"Авиалинии, авиакомпании",18.04.17
3181,Malev Hungarian Airlines (MALEV),"Авиалинии, авиакомпании",18.04.17
3182,LOT – Polish Airlines (LOT),"Авиалинии, авиакомпании",18.04.17
3183,Oman Aviation Services (OMAN AIR),"Авиалинии, авиакомпании",18.04.17
3184,LIAT (LIAT),"Авиалинии, авиакомпании",18.04.17
3185,LAV Linea Aeropostal Venezolana (LAV),"Авиалинии, авиакомпании",18.04.17
3186,LAP Lineas Aereas Paraguayas (LAP),"Авиалинии, авиакомпании",18.04.17
3187,LACSA (Costa Rica) (LACSA),"Авиалинии, авиакомпании",17.04.17
3188,Virgin Express (VIR EXP),"Авиалинии, авиакомпании",18.04.17
3189,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3190,Jugoslav Air (JUGOSLAV),"Авиалинии, авиакомпании",16.04.17
3191,Island Airlines (ISLANDAI),"Авиалинии, авиакомпании",17.04.17
3192,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3193,Indian Airlines (INDIAN A),"Авиалинии, авиакомпании",18.04.17
3194,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3195,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3196,Hawaiian Air (HAWAIIAN),"Авиалинии, авиакомпании",17.04.17
3197,Havasu Airlines (HAVASUAI),"Авиалинии, авиакомпании",18.04.17
3198,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3199,Servicios Aereos Militares,"Авиалинии, авиакомпании",14.10.17
3200,Guyana Airways (GUYANA A),"Авиалинии, авиакомпании",18.04.17
3201,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3202,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3203,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3204,Freedom Airlines (FREEDOM),"Авиалинии, авиакомпании",18.04.17
3205,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3206,China Eastern Airlines (CHINAEAST),"Авиалинии, авиакомпании",18.04.17
